breakdown_type,group_value,bets,wins,total_staked,total_profit,roi,strike_rate,avg_price,avg_edge,combo_label,weight_market_sanity,weight_steam,base_roi,base_strike_rate,base_bets,base_total_profit,delta_roi,delta_strike_rate,delta_bets,delta_total_profit
price_band,3-6,42,4,42.0,-22.2,-0.5285714285714286,0.09523809523809523,4.930952380952381,0.08055757858377717,mkt=0.080|steam=0.060,0.08,0.06,-0.5392857142857143,0.10714285714285714,56,-30.2,0.010714285714285676,-0.011904761904761904,-14,8.0
price_band,9-12,114,16,114.0,48.5,0.42543859649122806,0.14035087719298245,9.885964912280702,0.08510466849541215,mkt=0.080|steam=0.080,0.08,0.08,0.4520547945205479,0.14383561643835616,146,66.0,-0.02661619802931986,-0.003484739245373708,-32,-17.5
price_band,<3,2,1,2.0,0.8999999999999999,0.44999999999999996,0.5,2.8,0.08915474426183218,mkt=0.080|steam=0.080,0.08,0.08,1.9,1.0,1,1.9,-1.45,-0.5,1,-1.0
price_band,6-9,196,27,196.0,-0.5,-0.002551020408163265,0.1377551020408163,7.280612244897959,0.0799529406634376,mkt=0.080|steam=0.080,0.08,0.08,0.07709251101321586,0.14537444933920704,227,17.5,-0.07964353142137913,-0.007619347298390727,-31,-18.0
price_band,12-20,91,7,91.0,-5.0,-0.054945054945054944,0.07692307692307693,13.131868131868131,0.09284518647214259,mkt=0.080|steam=0.080,0.08,0.08,0.04838709677419355,0.08064516129032258,124,6.0,-0.10333215171924849,-0.003722084367245651,-33,-11.0
price_band,3-6,50,6,50.0,-21.4,-0.428,0.12,4.942,0.07792488625198532,mkt=0.080|steam=0.080,0.08,0.08,-0.5392857142857143,0.10714285714285714,56,-30.2,0.11128571428571427,0.012857142857142859,-6,8.8
price_band,9-12,105,16,105.0,58.0,0.5523809523809524,0.1523809523809524,9.876190476190477,0.08837183500646294,mkt=0.080|steam=0.100,0.08,0.1,0.4520547945205479,0.14383561643835616,146,66.0,0.1003261578604045,0.008545335942596238,-41,-8.0
price_band,6-9,193,30,193.0,25.0,0.12953367875647667,0.15544041450777202,7.233160621761658,0.0797817187997991,mkt=0.080|steam=0.100,0.08,0.1,0.07709251101321586,0.14537444933920704,227,17.5,0.05244116774326081,0.010065965168564978,-34,7.5
price_band,12-20,95,8,95.0,5.0,0.05263157894736842,0.08421052631578947,13.08421052631579,0.09453129859578291,mkt=0.080|steam=0.100,0.08,0.1,0.04838709677419355,0.08064516129032258,124,6.0,0.004244482173174871,0.0035653650254668934,-29,-1.0
price_band,<3,1,0,1.0,-1.0,-1.0,0.0,2.7,0.10873865413771266,mkt=0.080|steam=0.100,0.08,0.1,1.9,1.0,1,1.9,-2.9,-1.0,0,-2.9
price_band,3-6,60,9,60.0,-18.4,-0.30666666666666664,0.15,4.905,0.07569022438418643,mkt=0.080|steam=0.100,0.08,0.1,-0.5392857142857143,0.10714285714285714,56,-30.2,0.23261904761904761,0.04285714285714286,4,11.8
